NATIONAL_IDENTIFIER_ID|BUSINESS_GROUP_ID|PERSON_ID|LEGISLATION_CODE|ISSUE_DATE|EXPIRATION_DATE|NATIONAL_IDENTIFIER_TYPE|NATIONAL_IDENTIFIER_NUMBER|PLACE_OF_ISSUE|PRIMARY_FLAG
389-89-89000||89000|US|1/21/90|1/21/70|SSN|389-89-89000||Yes
389-89-89001||89001|US|1/21/90|1/21/70|SSN|389-89-89001||Yes
389-89-89002||89002|US|1/21/90|1/21/70|SSN|389-89-89002||Yes
389-89-89003||89003|US|1/21/90|1/21/70|SSN|389-89-89003||Yes
389-89-89004||89004|US|1/21/90|1/21/70|SSN|389-89-89004||Yes
389-89-89005||89005|US|1/21/90|1/21/70|SSN|389-89-89005||Yes
389-89-89006||89006|US|1/21/90|1/21/70|SSN|389-89-89006||Yes
389-89-89007||89007|US|1/21/90|1/21/70|SSN|389-89-89007||Yes
389-89-89008||89008|US|1/21/90|1/21/70|SSN|389-89-89008||Yes
389-89-89009||89009|US|1/21/90|1/21/70|SSN|389-89-89009||Yes
389-89-89010||89010|US|1/21/90|1/21/70|SSN|389-89-89010||Yes
389-89-89011||89011|US|1/21/90|1/21/70|SSN|389-89-89011||Yes
389-89-89012||89012|US|1/21/90|1/21/70|SSN|389-89-89012||Yes
389-89-89013||89013|US|1/21/90|1/21/70|SSN|389-89-89013||Yes
389-89-89014||89014|US|1/21/90|1/21/70|SSN|389-89-89014||Yes
389-89-89015||89015|US|1/21/90|1/21/70|SSN|389-89-89015||Yes
389-89-89016||89016|US|1/21/90|1/21/70|SSN|389-89-89016||Yes
389-89-89017||89017|US|1/21/90|1/21/70|SSN|389-89-89017||Yes
389-89-89018||89018|US|1/21/90|1/21/70|SSN|389-89-89018||Yes
389-89-89019||89019|US|1/21/90|1/21/70|SSN|389-89-89019||Yes
389-89-89020||89020|US|1/21/90|1/21/70|SSN|389-89-89020||Yes
389-89-89021||89021|US|1/21/90|1/21/70|SSN|389-89-89021||Yes
389-89-89022||89022|US|1/21/90|1/21/70|SSN|389-89-89022||Yes
389-89-89023||89023|US|1/21/90|1/21/70|SSN|389-89-89023||Yes
389-89-89024||89024|US|1/21/90|1/21/70|SSN|389-89-89024||Yes
389-89-89025||89025|US|1/21/90|1/21/70|SSN|389-89-89025||Yes
389-89-89026||89026|US|1/21/90|1/21/70|SSN|389-89-89026||Yes
389-89-89027||89027|US|1/21/90|1/21/70|SSN|389-89-89027||Yes
389-89-89028||89028|US|1/21/90|1/21/70|SSN|389-89-89028||Yes
389-89-89029||89029|US|1/21/90|1/21/70|SSN|389-89-89029||Yes
389-89-89030||89030|US|1/21/90|1/21/70|SSN|389-89-89030||Yes
389-89-89031||89031|US|1/21/90|1/21/70|SSN|389-89-89031||Yes
389-89-89032||89032|US|1/21/90|1/21/70|SSN|389-89-89032||Yes
389-89-89033||89033|US|1/21/90|1/21/70|SSN|389-89-89033||Yes
389-89-89034||89034|US|1/21/90|1/21/70|SSN|389-89-89034||Yes
389-89-89035||89035|US|1/21/90|1/21/70|SSN|389-89-89035||Yes
389-89-89036||89036|US|1/21/90|1/21/70|SSN|389-89-89036||Yes
389-89-89037||89037|US|1/21/90|1/21/70|SSN|389-89-89037||Yes
389-89-89038||89038|US|1/21/90|1/21/70|SSN|389-89-89038||Yes
389-89-89039||89039|US|1/21/90|1/21/70|SSN|389-89-89039||Yes
389-89-89040||89040|US|1/21/90|1/21/70|SSN|389-89-89040||Yes
389-89-89041||89041|US|1/21/90|1/21/70|SSN|389-89-89041||Yes
389-89-89042||89042|US|1/21/90|1/21/70|SSN|389-89-89042||Yes
389-89-89043||89043|US|1/21/90|1/21/70|SSN|389-89-89043||Yes
389-89-89044||89044|US|1/21/90|1/21/70|SSN|389-89-89044||Yes
389-89-89045||89045|US|1/21/90|1/21/70|SSN|389-89-89045||Yes
389-89-89046||89046|US|1/21/90|1/21/70|SSN|389-89-89046||Yes
389-89-89047||89047|US|1/21/90|1/21/70|SSN|389-89-89047||Yes
389-89-89048||89048|US|1/21/90|1/21/70|SSN|389-89-89048||Yes
389-89-89049||89049|US|1/21/90|1/21/70|SSN|389-89-89049||Yes
389-89-89050||89050|US|1/21/90|1/21/70|SSN|389-89-89050||Yes
389-89-89051||89051|US|1/21/90|1/21/70|SSN|389-89-89051||Yes
389-89-89052||89052|US|1/21/90|1/21/70|SSN|389-89-89052||Yes
389-89-89053||89053|US|1/21/90|1/21/70|SSN|389-89-89053||Yes
389-89-89054||89054|US|1/21/90|1/21/70|SSN|389-89-89054||Yes
389-89-89055||89055|US|1/21/90|1/21/70|SSN|389-89-89055||Yes
389-89-89056||89056|US|1/21/90|1/21/70|SSN|389-89-89056||Yes
389-89-89057||89057|US|1/21/90|1/21/70|SSN|389-89-89057||Yes
389-89-89058||89058|US|1/21/90|1/21/70|SSN|389-89-89058||Yes
389-89-89059||89059|US|1/21/90|1/21/70|SSN|389-89-89059||Yes
389-89-89060||89060|US|1/21/90|1/21/70|SSN|389-89-89060||Yes
389-89-89061||89061|US|1/21/90|1/21/70|SSN|389-89-89061||Yes
389-89-89062||89062|US|1/21/90|1/21/70|SSN|389-89-89062||Yes
389-89-89063||89063|US|1/21/90|1/21/70|SSN|389-89-89063||Yes
389-89-89064||89064|US|1/21/90|1/21/70|SSN|389-89-89064||Yes
389-89-89065||89065|US|1/21/90|1/21/70|SSN|389-89-89065||Yes
389-89-89066||89066|US|1/21/90|1/21/70|SSN|389-89-89066||Yes
389-89-89067||89067|US|1/21/90|1/21/70|SSN|389-89-89067||Yes
389-89-89068||89068|US|1/21/90|1/21/70|SSN|389-89-89068||Yes
389-89-89069||89069|US|1/21/90|1/21/70|SSN|389-89-89069||Yes
389-89-89070||89070|US|1/21/90|1/21/70|SSN|389-89-89070||Yes
389-89-89071||89071|US|1/21/90|1/21/70|SSN|389-89-89071||Yes
389-89-89072||89072|US|1/21/90|1/21/70|SSN|389-89-89072||Yes
389-89-89073||89073|US|1/21/90|1/21/70|SSN|389-89-89073||Yes
389-89-89074||89074|US|1/21/90|1/21/70|SSN|389-89-89074||Yes
389-89-89075||89075|US|1/21/90|1/21/70|SSN|389-89-89075||Yes
389-89-89076||89076|US|1/21/90|1/21/70|SSN|389-89-89076||Yes
389-89-89077||89077|US|1/21/90|1/21/70|SSN|389-89-89077||Yes
389-89-89078||89078|US|1/21/90|1/21/70|SSN|389-89-89078||Yes
389-89-89079||89079|US|1/21/90|1/21/70|SSN|389-89-89079||Yes
389-89-89080||89080|US|1/21/90|1/21/70|SSN|389-89-89080||Yes
389-89-89081||89081|US|1/21/90|1/21/70|SSN|389-89-89081||Yes
389-89-89082||89082|US|1/21/90|1/21/70|SSN|389-89-89082||Yes
389-89-89083||89083|US|1/21/90|1/21/70|SSN|389-89-89083||Yes
389-89-89084||89084|US|1/21/90|1/21/70|SSN|389-89-89084||Yes
389-89-89085||89085|US|1/21/90|1/21/70|SSN|389-89-89085||Yes
389-89-89086||89086|US|1/21/90|1/21/70|SSN|389-89-89086||Yes
389-89-89087||89087|US|1/21/90|1/21/70|SSN|389-89-89087||Yes
389-89-89088||89088|US|1/21/90|1/21/70|SSN|389-89-89088||Yes
389-89-89089||89089|US|1/21/90|1/21/70|SSN|389-89-89089||Yes
389-89-89090||89090|US|1/21/90|1/21/70|SSN|389-89-89090||Yes
389-89-89091||89091|US|1/21/90|1/21/70|SSN|389-89-89091||Yes
389-89-89092||89092|US|1/21/90|1/21/70|SSN|389-89-89092||Yes
389-89-89093||89093|US|1/21/90|1/21/70|SSN|389-89-89093||Yes
389-89-89094||89094|US|1/21/90|1/21/70|SSN|389-89-89094||Yes
